sku,precio_reales
3707.0,"2.469,00"
11780.0,"1.939,00"
7868.0,"2.329,00"
7321.0,"1.939,00"
8208.0,0
14186.0,"2.469,00"
12478.0,"2.469,00"
8876.0,"2.329,00"
9315.0,"2.329,00"
6985.0,"2.029,00"
7574.0,"2.329,00"
12382.0,"1.939,00"
7701.0,"2.469,00"
5137.0,"1.939,00"
8993.0,"1.679,00"
8148.0,"2.329,00"
11933.0,"2.329,00"
6594.0,"2.329,00"
10435.0,"2.329,00"
11934.0,"3.219,00"
10183.0,"2.329,00"
9314.0,"2.469,00"
7211.0,"2.469,00"
2928.0,"699,00"
6455.0,"2.469,00"
8149.0,"2.469,00"
2988.0,"2.329,00"
891.0,"509,00"
12409.0,"2.329,00"
10016.0,"2.399,00"
6790.0,"599,00"
6328.0,"1.149,00"
186.0,"1.939,00"
13276.0,"2.469,00"
9664.0,"569,00"
8274.0,"2.329,00"
7223.0,"1.939,00"
2989.0,"449,00"
7055.0,"1.939,00"
6329.0,"999,00"
1565.0,"1.939,00"
3011.0,"2.469,00"
2792.0,"2.469,00"
12381.0,"2.329,00"
12480.0,"1.939,00"
9497.0,"2.329,00"
8652.0,"2.329,00"
8134.0,"2.329,00"
3277.0,"1.939,00"
10574.0,"2.469,00"
11961.0,"2.329,00"
1255.0,"2.329,00"
10616.0,"2.469,00"
2697.0,"2.469,00"
11093.0,"2.329,00"
8175.0,"1.309,00"
2713.0,"2.469,00"
8553.0,"1.939,00"
7671.0,"1.939,00"
8875.0,"1.939,00"
11667.0,"2.329,00"
1373.0,"1.939,00"
8595.0,"1.939,00"
7421.0,"2.469,00"
10212.0,"1.939,00"
5425.0,"2.469,00"
6454.0,"2.329,00"
10700.0,"2.469,00"
9104.0,"2.469,00"
13486.0,"2.469,00"
10981.0,"2.329,00"
6551.0,"1.939,00"
7686.0,"2.329,00"
1581.0,"1.939,00"
15670.0,"1.939,00"
6552.0,"2.329,00"
11457.0,"2.329,00"
6537.0,"1.939,00"
10744.0,"1.939,00"
5075.0,"2.469,00"
8231.0,"3.399,00"
3395.0,"869,00"
9441.0,"2.329,00"
7392.0,"2.329,00"
2987.0,"2.469,00"
8330.0,"2.329,00"
2724.0,"2.469,00"
6327.0,"1.269,00"
137.0,"1.939,00"
7391.0,"1.939,00"
1366.0,"2.329,00"
11400.0,"2.469,00"
5447.0,"2.469,00"
13306.0,"1.939,00"
9413.0,"2.329,00"
199.0,"2.329,00"
9371.0,"2.329,00"
10449.0,"2.329,00"
10308.0,"2.469,00"
2698.0,"2.469,00"
5015.0,"2.469,00"
8932.0,"2.329,00"
2783.0,"2.469,00"
15384.0,"2.329,00"
7127.0,"2.469,00"
7153.0,"1.939,00"
11738.0,"1.939,00"
5087.0,"2.469,00"
5089.0,"1.939,00"
8396.0,"2.329,00"
6721.0,"2.469,00"
9372.0,"1.939,00"
4956.0,"2.329,00"
3012.0,"2.329,00"
15684.0,"2.329,00"
6934.0,0
8792.0,"2.329,00"
6593.0,"1.939,00"
7056.0,"2.329,00"
11401.0,"2.329,00"
249.0,"1.939,00"
4619.0,"2.469,00"
9246.0,"319,00"
7379.0,"2.469,00"
9986.0,"2.469,00"
2915.0,"2.469,00"
15549.0,"2.329,00"
9217.0,"2.329,00"
2689.0,"2.469,00"
15564.0,"2.329,00"
12969.0,"2.329,00"
6959.0,"1.769,00"
2771.0,"2.469,00"
12422.0,"2.469,00"
8951.0,"2.329,00"
13108.0,"2.469,00"
13095.0,"2.329,00"
970.0,"2.329,00"
8135.0,"2.469,00"
10001.0,"2.819,00"
12045.0,"2.329,00"
7042.0,"2.329,00"
13124.0,"1.839,00"
5208.0,"2.329,00"
9146.0,"2.469,00"
9427.0,"2.329,00"
8009.0,"2.469,00"
2977.0,"729,00"
3193.0,"729,00"
5016.0,"2.329,00"
5076.0,"2.329,00"
5077.0,"1.939,00"
5125.0,"1.939,00"
13123.0,"1.379,00"
13080.0,"2.229,00"
13082.0,"2.399,00"
207.0,"1.939,00"
14187.0,"2.329,00"
206.0,"2.329,00"
9442.0,"769,00"
9190.0,"1.939,00"
12325.0,"2.329,00"
9105.0,"2.329,00"
13066.0,"2.229,00"
7154.0,"2.329,00"
9498.0,"1.939,00"
3169.0,"1.939,00"
10434.0,"439,00"
11556.0,"1.939,00"
8623.0,"1.939,00"
151.0,"1.939,00"
4621.0,"769,00"
7699.0,"1.939,00"
10870.0,"1.939,00"
963.0,"2.329,00"
9959.0,"2.819,00"
10099.0,"2.819,00"
10856.0,"1.939,00"
6468.0,"2.329,00"
13390.0,"3.589,00"
6243.0,0
8395.0,"1.939,00"
164.0,"2.329,00"
150.0,"2.329,00"
15535.0,"1.939,00"
5445.0,"1.939,00"
15550.0,"1.939,00"
6341.0,"1.939,00"
9540.0,"1.939,00"
15353.0,"2.469,00"
3804.0,"2.329,00"
12296.0,"399,00"
3215.0,"2.469,00"
7209.0,"1.939,00"
7560.0,"2.329,00"
9678.0,"549,00"
12424.0,"1.939,00"
15565.0,"1.939,00"
765.0,"369,00"
13277.0,"2.329,00"
10534.0,"1.939,00"
13389.0,"3.479,00"
13150.0,"2.469,00"
2951.0,"2.469,00"
193.0,"1.939,00"
8161.0,"1.309,00"
11920.0,"1.939,00"
2843.0,"2.469,00"
480.0,"2.329,00"
478.0,"1.939,00"
15729.0,"2.329,00"
